GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenWMS.org COMMON: Services,org.openwms.common.location.api.events,LocationEvent,6,16,0,0,1,5,1,3,1,3
OpenWMS.org COMMON: Services,org.openwms.common.location.api.events,LocationGroupEvent.LocationGroupEventType,0,54,0,0,0,2,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common.location.api.events,TargetEvent,71,25,10,0,14,7,12,2,7,2
OpenWMS.org COMMON: Services,org.openwms.common.location.api.events,LocationGroupEvent,0,22,0,0,0,6,0,4,0,4
OpenWMS.org COMMON: Services,org.openwms.common.location.api.events,TargetEvent.Builder,5,32,1,1,1,11,1,6,0,6
OpenWMS.org COMMON: Services,org.openwms.common.location.api.events,LocationEvent.LocationEventType,0,54,0,0,0,2,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common.transport.impl,TransportUnitTypeServiceImpl.AjcClosure1,0,13,0,0,0,1,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.transport.impl,TransportUnitServiceImpl,302,273,18,6,42,46,25,17,15,15
OpenWMS.org COMMON: Services,org.openwms.common.transport.impl,TransportUnitTypeServiceImpl,190,33,30,0,35,6,20,4,5,4
OpenWMS.org COMMON: Services,org.openwms.common.transport.impl,TransportUnitTypeConverter,35,74,11,11,1,4,13,3,2,3
OpenWMS.org COMMON: Services,org.openwms.common.transport.impl,TransportUnitServiceImpl.AjcClosure5,0,17,0,0,0,1,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.transport.impl,TransportUnitServiceImpl.AjcClosure1,0,17,0,0,0,1,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.transport.impl,TransportUnitServiceImpl.AjcClosure3,0,17,0,0,0,1,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.api,ErrorCodeVO,0,93,0,0,0,27,0,9,0,9
OpenWMS.org COMMON: Services,org.openwms.common.location.api,LockType,0,34,0,0,0,7,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common.location.api,LocationGroupState,0,24,0,0,0,5,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common.location.api,LockMode,0,44,0,0,0,9,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common.location.api,LocationVO,240,28,26,0,28,11,26,9,13,9
OpenWMS.org COMMON: Services,org.openwms.common.location.api,LocationGroupVO,159,30,29,3,29,9,28,8,13,7
OpenWMS.org COMMON: Services,org.openwms.common.transport.api,TransportUnitTypeVO,26,18,0,0,13,7,6,6,6,6
OpenWMS.org COMMON: Services,org.openwms.common.transport.api,TransportUnitVO.Builder,51,0,0,0,19,0,10,0,10,0
OpenWMS.org COMMON: Services,org.openwms.common.transport.api,UnitErrorVO,17,0,0,0,7,0,5,0,5,0
OpenWMS.org COMMON: Services,org.openwms.common.transport.api,TransportUnitVO,228,30,24,0,50,11,27,10,15,10
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationConverter,109,2,22,0,4,1,15,1,4,1
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationTypeServiceImpl,0,51,0,0,0,13,0,7,0,7
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationServiceImpl.AjcClosure7,0,17,0,0,0,1,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationServiceImpl.AjcClosure9,0,17,0,0,0,1,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationPKConverter,3,12,0,2,1,3,1,3,1,2
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationGroupStateConverter,13,16,5,3,4,4,4,3,1,2
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationGroupEventPropagator,104,60,8,2,14,15,8,4,0,4
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationGroupServiceImpl,132,117,12,2,22,28,12,9,5,9
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationGroupServiceImpl.AjcClosure3,13,0,0,0,1,0,2,0,2,0
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationGroupServiceImpl.AjcClosure1,13,0,0,0,1,0,2,0,2,0
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationServiceImpl.AjcClosure1,0,17,0,0,0,1,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationServiceImpl.AjcClosure3,0,17,0,0,0,1,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationServiceImpl.AjcClosure5,0,17,0,0,0,1,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationTypeServiceImpl.AjcClosure1,0,13,0,0,0,1,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.impl,LocationServiceImpl,31,230,4,10,5,32,6,12,2,9
OpenWMS.org COMMON: Services,org.openwms.common.transport.api.messages,TransportUnitTypeMO,8,51,0,0,4,21,2,15,2,15
OpenWMS.org COMMON: Services,org.openwms.common.transport.api.messages,TransportUnitMO,191,30,0,0,31,11,12,10,12,10
OpenWMS.org COMMON: Services,org.openwms.common.transport.api.messages,TransportUnitMO.Builder,51,0,0,0,19,0,10,0,10,0
OpenWMS.org COMMON: Services,org.openwms.common.units,UnitUserType,335,0,30,0,58,0,31,0,16,0
OpenWMS.org COMMON: Services,org.openwms.common.units,PieceUnit,6,53,0,0,2,9,2,3,2,3
OpenWMS.org COMMON: Services,org.openwms.common.units,Piece,106,146,18,16,22,34,20,14,7,10
OpenWMS.org COMMON: Services,org.openwms.common.units,PieceUserType,130,0,12,0,32,0,21,0,15,0
OpenWMS.org COMMON: Services,org.openwms.common.units,WeightUnit,6,78,0,0,2,13,2,3,2,3
OpenWMS.org COMMON: Services,org.openwms.common.units,Weight,86,118,14,10,19,30,16,12,6,10
OpenWMS.org COMMON: Services,org.openwms.common.location,LocationPK.Builder,0,34,0,0,0,12,0,7,0,7
OpenWMS.org COMMON: Services,org.openwms.common.location,Message,2,92,2,8,0,20,2,12,0,9
OpenWMS.org COMMON: Services,org.openwms.common.location,LocationGroup,72,473,32,56,14,97,33,55,6,38
OpenWMS.org COMMON: Services,org.openwms.common.location,LocationController,10,236,10,14,0,31,10,11,0,9
OpenWMS.org COMMON: Services,org.openwms.common.location,LocationPK,9,210,9,13,3,41,9,17,0,15
OpenWMS.org COMMON: Services,org.openwms.common.location,Message.Builder,0,16,0,0,0,5,0,3,0,3
OpenWMS.org COMMON: Services,org.openwms.common.location,LocationType,14,88,2,4,6,23,5,12,3,11
OpenWMS.org COMMON: Services,org.openwms.common.location,Target,0,3,0,0,0,1,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common.location,Subsystem,32,0,0,0,14,0,7,0,7,0
OpenWMS.org COMMON: Services,org.openwms.common.location,Location,19,259,3,13,5,61,8,38,5,33
OpenWMS.org COMMON: Services,org.openwms.common.location,LocationGroupController,2,215,3,5,0,38,3,11,0,10
OpenWMS.org COMMON: Services,org.openwms.common.location,TargetController,186,242,17,16,40,63,22,17,7,10
OpenWMS.org COMMON: Services,org.openwms.common.transport.api.commands,MessageCommand,72,0,0,0,27,0,13,0,13,0
OpenWMS.org COMMON: Services,org.openwms.common.transport.api.commands,TUCommand.Builder,16,0,0,0,5,0,3,0,3,0
OpenWMS.org COMMON: Services,org.openwms.common.transport.api.commands,TUCommand,69,0,0,0,14,0,7,0,7,0
OpenWMS.org COMMON: Services,org.openwms.common.transport.api.commands,TUCommand.Type,54,0,0,0,6,0,1,0,1,0
OpenWMS.org COMMON: Services,org.openwms.common.transport.api.commands,MessageCommand.Type,14,0,0,0,3,0,1,0,1,0
OpenWMS.org COMMON: Services,org.openwms.common.transport.api.commands,MessageCommand.Builder,31,0,0,0,11,0,6,0,6,0
OpenWMS.org COMMON: Services,org.openwms.common.location.spi,DefaultGroupStateInTransformer,2,21,1,3,1,4,1,3,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.spi,DefaultLocationStateOutTransformer,2,22,1,3,0,5,1,3,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.spi,DefaultLocationStateInTransformer,2,22,1,3,0,5,1,3,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.spi,DefaultGroupStateOutTransformer,2,21,1,3,1,4,1,3,0,2
OpenWMS.org COMMON: Services,org.openwms.common.transport.events,TransportUnitEventPropagator,60,32,4,1,7,9,4,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.transport.events,TransportUnitEvent.Builder,13,20,3,1,3,6,3,3,1,3
OpenWMS.org COMMON: Services,org.openwms.common.transport.events,TransportUnitEvent,16,21,0,0,5,6,3,3,3,3
OpenWMS.org COMMON: Services,org.openwms.common.transport.events,TransportUnitEvent.TransportUnitEventType,0,44,0,0,0,2,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common.transport.events,TransportUnitEventListener,55,9,2,0,10,4,3,1,2,1
OpenWMS.org COMMON: Services,org.openwms.common.transport.commands,MessageCommandHandlerImpl,37,10,4,0,13,4,3,2,1,2
OpenWMS.org COMMON: Services,org.openwms.common.transport.commands,TransportUnitCommandListener,27,9,4,0,7,4,3,1,1,1
OpenWMS.org COMMON: Services,org.openwms.common.transport.commands,TransportUnitCommandPropagator,40,16,6,0,11,6,4,2,1,2
OpenWMS.org COMMON: Services,org.openwms.common.transport.commands,TransportUnitCommandHandler,75,13,10,0,15,5,7,2,1,2
OpenWMS.org COMMON: Services,org.openwms.common,CommonStarter,5,3,0,0,2,1,1,1,1,1
OpenWMS.org COMMON: Services,org.openwms.common,CommonStandaloneConfiguration,0,3,0,0,0,1,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common,StateChangeException,0,4,0,0,0,2,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common,IndexController,0,58,0,0,0,7,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common,SimpleLink,0,7,0,0,0,2,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common,Index,0,6,0,0,0,3,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common,CommonModuleConfiguration.new AbstractTranslator() {...},0,10,0,0,0,3,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common,CommonOptAsyncConfiguration,0,80,0,0,0,24,0,9,0,9
OpenWMS.org COMMON: Services,org.openwms.common,CommonAsyncConfiguration,0,23,0,0,0,7,0,4,0,4
OpenWMS.org COMMON: Services,org.openwms.common,CommonModuleConfiguration,0,43,0,0,0,10,0,6,0,6
OpenWMS.org COMMON: Services,org.openwms.common,CommonSecurityConfiguration,0,14,0,0,0,6,0,2,0,2
OpenWMS.org COMMON: Services,org.openwms.common.location.api.messages,LocationMO,16,15,0,0,8,5,4,5,4,5
OpenWMS.org COMMON: Services,org.openwms.common.location.api.messages,LocationGroupMO,44,22,8,0,12,8,10,7,6,7
OpenWMS.org COMMON: Services,org.openwms.common.transport,TransportUnitType.Builder,67,0,0,0,26,0,13,0,13,0
OpenWMS.org COMMON: Services,org.openwms.common.transport,Barcode.BARCODE_ALIGN,0,24,0,0,0,5,0,1,0,1
OpenWMS.org COMMON: Services,org.openwms.common.transport,TransportUnitTypeController,0,79,0,0,0,13,0,5,0,5
OpenWMS.org COMMON: Services,org.openwms.common.transport,TransportUnitType,130,168,2,4,37,35,15,21,13,20
OpenWMS.org COMMON: Services,org.openwms.common.transport,Barcode,26,118,7,13,11,41,10,18,4,14
OpenWMS.org COMMON: Services,org.openwms.common.transport,TypePlacingRule,41,81,5,7,8,17,11,5,6,4
OpenWMS.org COMMON: Services,org.openwms.common.transport,UnitError.Builder,5,16,0,0,2,5,1,3,1,3
OpenWMS.org COMMON: Services,org.openwms.common.transport,TransportUnitController,119,164,6,2,22,27,9,7,5,7
OpenWMS.org COMMON: Services,org.openwms.common.transport,TypeStackingRule,94,3,12,0,15,2,13,1,7,1
OpenWMS.org COMMON: Services,org.openwms.common.transport,TransportUnit,52,489,27,41,13,72,34,40,7,33
OpenWMS.org COMMON: Services,org.openwms.common.transport,UnitError,20,73,4,6,1,18,5,9,1,8
OpenWMS.org COMMON: Services,org.openwms.common.transport,TransportUnitState,0,34,0,0,0,7,0,1,0,1
